mrt,區,緯度,經度,平均人口,15-64,age.ratio,工業區,商業區,住宅區,公車種類數,上高速公路客運數,房價中位數,區中位數,房價中位數/區中位數,類別,預估流量
板新,板橋區,25.01455,121.47219,65060,46755,0.718644328,0,0,1,33,2,486951.3,365880.9,1.330901121,C,3139.584814
寶斗厝,新店區,24.984668,121.550979,14436,10503,0.72755611,1,0,1,4,0,408236.4,355426.5,1.148581774,A,479.8824465
分子尾,三重區,25.088807,121.485965,20083,15705,0.782004681,1,1,1,12,6,380209.5,361526.55,1.051677947,A,964.3947681
福德洋,士林區,25.093735,121.520132,13078,9254,0.707600551,0,0,1,11,4,554992.35,497135.1,1.116381342,B,223.451258
更寮,五股區,25.072657,121.463647,3249,2549,0.784549092,1,0,1,2,0,228531.6,223050.3,1.024574278,B,119.2284191
工商展覽中心,五股區,25.068521,121.45172,4956,3856,0.778046812,1,0,0,8,2,168210.9,223050.3,0.754138865,A,544.1268097
溝子口,文山區,24.987502,121.552234,9580,6868,0.71691023,0,0,1,20,4,423743.1,429763.95,0.985990333,A,424.9928081
故宮,士林區,25.098581,121.547711,3452,2391,0.692641947,0,1,1,16,0,540721.5,497135.1,1.087675161,B,90.10083958
景平,中和區,24.991929,121.516129,42088,30886,0.733843376,0,0,1,23,5,393231.3,352991.1,1.113997775,B,1013.504246
林子口,士林區,25.0964,121.532278,12691,8913,0.702308723,0,0,1,58,6,667362.3,497135.1,1.342416377,B,665.3560028
馬明潭,文山區,24.988829,121.559949,36773,26792,0.728578033,0,0,1,38,4,379447.2,429763.95,0.882920031,B,989.8454308
橋和,中和區,25.004208,121.490259,12149,9288,0.764507367,1,1,1,15,4,285001.2,352991.1,0.807389195,A,782.4088022
社子,士林區,25.087492,121.5106,49553,35453,0.715456178,0,0,1,37,2,392099.4,497135.1,0.788717996,A,813.3504736
十四張,新店區,24.984336,121.526994,11098,8315,0.749234096,0,0,1,2,0,464186.25,355426.5,1.305997865,A,375.1229945
文山區公所,文山區,24.986637,121.570665,21950,16007,0.729248292,0,0,1,18,0,458432.7,429763.95,1.066708131,A,429.0074279
新北產業園區,新莊區,25.061275,121.460134,13134,10323,0.785975331,1,1,1,11,8,415041,330561,1.255565539,A,975.1936445
新埔民生,板橋區,25.026131,121.466832,41477,31489,0.759191841,0,0,1,3,9,534039,365880.9,1.459597918,B,797.1184254
幸福,新莊區,25.049772,121.460238,47477,36403,0.766750216,0,0,1,22,7,411679.95,330561,1.245397824,A,1051.401496
秀朗橋,中和區,24.990787,121.525112,28122,20890,0.742834791,0,0,1,22,6,360881.4,352991.1,1.022352688,A,616.781567
政大,文山區,24.98774,121.57582,3053,2169,0.710448739,0,0,1,45,4,449029.35,429763.95,1.044827864,B,538.0037977
中和,中和區,25.002194,121.496501,48523,36479,0.751787812,0,0,1,20,11,392538.3,352991.1,1.112034553,A,1209.386534
中路,蘆洲區,25.076705,121.468774,27126,21180,0.780800708,1,0,1,33,0,274051.8,313245.9,0.874877532,A,723.349734
中原,中和區,25.008148,121.484201,30965,23761,0.767350234,1,1,1,1,1,324819,352991.1,0.920190339,C,491.1391322
重陽橋,三重區,25.087426,121.493886,29947,22704,0.75813938,0,0,1,14,0,370755,361526.55,1.025526341,A,498.0237772
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
