mrt,區,流量,緯度,經度,平均人口,15-64,age.ratio,工業區,商業區,住宅區,公車種類數,上高速公路客運數,房價中位數,區中位數,房價中位數/區中位數,流量/人口,
板橋,板橋區,2482.755769,25.0145999,121.4625299,54132,39255,0.725171802,0,0,1,72,27,497656.5,365880.9,1.360159822,0.045864845,
北門,大同區,264.1108974,25.0490258,121.5099912,13419,9294,0.692600045,0,1,1,51,4,523934.4,508596,1.030158318,0.019681861,
北投,北投區,1424.440385,25.1313054,121.4991801,14875,10956,0.736537815,0,1,1,33,2,505520.4,407995.5,1.239034254,0.095760698,
菜寮,三重區,939.8576923,25.060274,121.492156,44250,33736,0.76239548,0,0,1,76,14,387080.1,361526.55,1.070682361,0.021239722,
大安,大安區,705.9923077,25.0332255,121.5439082,15462,10145,0.656124693,0,1,1,47,8,899715.3,840015,1.071070517,0.045659831,
大安森林公園,大安區,293.5461538,25.0334788,121.535352,15185,9778,0.643924926,0,0,1,81,12,944402.25,840015,1.124268317,0.019331324,
大湖公園,內湖區,323.0371795,25.083009,121.605262,17417,13090,0.751564563,0,0,1,35,0,512801.85,506856.9,1.01172905,0.018547234,
大坪林,新店區,1301.460256,24.9827862,121.5410329,35501,26772,0.754119602,0,0,1,76,14,483129.9,355426.5,1.359296226,0.03665982,
大橋頭,大同區,752.3839744,25.0632553,121.5127182,24064,17058,0.708859707,0,0,1,36,37,493166.85,508596,0.969663249,0.031265956,
大直,中山區,478.7641026,25.079476,121.546894,18723,12939,0.691075148,0,0,1,76,0,689346.9,604358.7,1.140625427,0.025570908,
丹鳳,新莊區,1043.671154,25.0290509,121.422421,47069,37380,0.794153264,1,0,1,49,16,260084.55,330561,0.786797444,0.022173217,
淡水,淡水區,2597.983333,25.167817,121.44556,23785,17720,0.745007358,0,0,1,78,5,235210.8,194987.1,1.206289031,0.109227805,
頂埔,土城區,644.1173077,24.959332,121.4198624,12981,9929,0.764887143,1,0,0,12,4,229607.4,276652.2,0.829949662,0.049620007,
頂溪,永和區,3386.564744,25.014218,121.5153677,62808,45425,0.723235894,0,0,1,41,4,451786.5,411056.25,1.099086804,0.053919321,
東湖,內湖區,815.2435897,25.0671258,121.6117183,38457,28484,0.740671399,0,0,1,55,0,472160.7,506856.9,0.93154636,0.021198835,
東門,大安區,726.6980769,25.0340535,121.5289343,25158,16287,0.647388505,0,0,1,71,10,930454.8,840015,1.107664506,0.028885368,
動物園,文山區,310.875641,24.998259,121.57943,4107,2935,0.714633553,0,0,1,41,8,442346.85,429763.95,1.029278631,0.075694093,
府中,板橋區,2462.988462,25.0083954,121.4589482,52536,38180,0.726739759,0,0,1,27,8,416978.1,365880.9,1.139655281,0.046881918,
輔大,新莊區,577.3076923,25.0328241,121.4361096,16592,12596,0.759161042,1,0,1,72,12,260762.7,330561,0.788848957,0.03479434,
復興崗,北投區,342.2173077,25.138198,121.491851,16968,12114,0.713932108,0,0,1,18,2,341018.7,407995.5,0.835839366,0.020168394,
港墘,內湖區,581.4153846,25.080038,121.575102,25352,18485,0.729133796,1,0,1,44,2,532735.5,506856.9,1.051057014,0.022933709,
公館,中正區,920.5961538,25.011943,121.537818,8393,5810,0.692243536,0,1,0,92,8,868286.1,705342,1.231014316,0.109686185,
古亭,中正區,1390.725,25.0261342,121.522922,48812,33286,0.681922478,0,1,1,93,4,750651,705342,1.064236923,0.028491457,
關渡,北投區,659.3089744,25.124923,121.465515,10787,7995,0.741169927,1,0,1,27,2,376130.7,407995.5,0.921899139,0.061120698,
國父紀念館,信義區,550.5608974,25.039012,121.557739,14155,9349,0.660473331,0,0,1,68,6,860204.4,647955,1.327568118,0.038895153,
海山,土城區,2165.990385,24.9854279,121.4486084,60138,47703,0.793225581,1,0,1,8,0,325950.9,276652.2,1.17819739,0.036017001,
紅樹林,淡水區,661.3801282,25.154042,121.458871,4881,3725,0.763163286,0,0,1,35,6,264501.6,194987.1,1.3565082,0.135500948,
後山埤,南港區,1166.911538,25.045054,121.582522,29659,21425,0.722377693,0,0,1,36,6,589102.8,546258.9,1.078431491,0.039344264,
葫洲,內湖區,703.2839744,25.0727158,121.6071548,30224,21820,0.721942827,0,0,1,56,2,562336.5,506856.9,1.109458113,0.023269057,
迴龍,新莊區,1042.099359,25.02254,121.412734,31631,24074,0.761088805,1,0,1,25,8,295310.4,330561,0.893361286,0.032945508,
劍南路,中山區,395.4307692,25.084853,121.555592,14122,10122,0.716754001,0,1,1,62,4,734098.2,604358.7,1.214673008,0.028001046,
