鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,租賃年月日,租賃層次,總樓層數,建物型態,主要用途,建築完成年月,租賃總面積平方公尺,總額元,單價每平方公尺,租賃總面積平方公尺,緯度,經度
三重區,建物,新北市三重區正義北路331~360號,0,其他,1030107,見其他登記事項,4,公寓(5樓含以下無電梯),商業用,660505,362,150000,414,0,25.07151840 ,121.49382620 
三重區,房地(土地+建物),新北市三重區成功路91~120號,1601.19,住,1021208,十六層,27,住宅大樓(11層含以上有電梯),住家用,860203,17.71,9000,508,0,25.05143180 ,121.48845330 
三重區,建物,新北市三重區重新路五段571~600號,0,,1030113,二層,12,住宅大樓(11層含以上有電梯),工業用,691231,155.8,21750,140,0,25.04612800 ,121.47012300 
三重區,房地(土地+建物),新北市三重區車路頭街72巷31~60號,23,住,1030214,一層,4,公寓(5樓含以下無電梯),見其他登記事項,680729,78,12000,154,0,25.07100100 ,121.48375900 
三重區,房地(土地+建物),新北市三重區重新路一段61~90號,64.7,住,1030109,全,4,透天厝,商業用,511010,244.56,75000,307,0,25.06385430 ,121.50180040 
三重區,建物,新北市三重區光復路一段61巷1~30號,0,,1030201,三層,15,廠辦,見其他登記事項,1020812,1488.04,337598,227,0,25.04885000 ,121.47389600 
三重區,房地(土地+建物),新北市三重區自強路五段1~30號,9.63,住,1030215,一層,4,公寓(5樓含以下無電梯),商業用,661105,29.91,14000,468,0,25.08027790 ,121.49218270 
三重區,房地(土地+建物),新北市三重區車路頭街139巷1~30號,15.88,住,1021215,三層,4,公寓(5樓含以下無電梯),住家用,660814,106,14700,139,0,25.07004990 ,121.48393750 
三重區,建物,新北市三重區重陽路四段121~150號,52.44,住,1030220,五層,12,住宅大樓(11層含以上有電梯),住家用,821110,220.86,41800,189,0,25.07202090 ,121.49355500 
三重區,建物,新北市三重區永福街241~270號,17.6,住,1030214,一層,5,公寓(5樓含以下無電梯),見其他登記事項,701226,88,42000,477,0,25.07434360 ,121.48216440 
三重區,建物,新北市三重區重新路一段121~150號,0,,1030224,十九層,27,住宅大樓(11層含以上有電梯),住家用,1011220,62.32,17000,273,0,25.06325450 ,121.50018710 
